Datum	Tid	Väg	Totalt antal påstigande	lat	lon
01/06/24	08.00	UT	22	57.659177	11.839656
01/06/24	09.15	UT	99	57.659177	11.839656
01/06/24	11.15	UT	108	57.659177	11.839656
01/06/24	11.14	UT	129	57.659177	11.839656
01/06/24	12.40	UT	135	57.659177	11.839656
01/06/24	07.05	IN	44	57.574184	11.7782755
01/06/24	08.52	IN	33	57.574184	11.7782755
01/06/24	10.30	IN	109	57.574184	11.7782755
02/06/24	06.15	UT	15	57.659177	11.839656
02/06/24	08.02	UT	35	57.659177	11.839656
02/06/24	09.50	UT	163	57.659177	11.839656
02/06/24	11.05	UT	115	57.659177	11.839656
02/06/24	13.05	UT	148	57.659177	11.839656
02/06/24	06.04	IN	10	57.574184	11.7782755
02/06/24	07.31	IN	39	57.574184	11.7782755
02/06/24	09.12	IN	42	57.574184	11.7782755
02/06/24	10.54	IN	100	57.574184	11.7782755
02/06/24	12.05	IN	159	57.574184	11.7782755
03/06/24	05.11	UT	3	57.659177	11.839656
03/06/24	06.08	UT	24	57.659177	11.839656
03/06/24	07.54	UT	101	57.659177	11.839656
03/06/24	09.20	UT	46	57.659177	11.839656
03/06/24	11.50	UT	35	57.659177	11.839656
03/06/24	12.50	UT	30	57.659177	11.839656
03/06/24	14.40	UT	21	57.659177	11.839656
03/06/24	15.30	UT	108	57.659177	11.839656
03/06/24	16.40	UT	22	57.659177	11.839656
03/06/24	17.37	UT	72	57.659177	11.839656
03/06/24	19.05	UT	38	57.659177	11.839656
03/06/24	05.06	IN	12	57.574184	11.7782755
03/06/24	05.58	IN	56	57.574184	11.7782755
03/06/24	07.21	IN	109	57.574184	11.7782755
03/06/24	09.15	IN	116	57.574184	11.7782755
03/06/24	10.12	IN	65	57.574184	11.7782755
03/06/24	12.42	IN	62	57.574184	11.7782755
03/06/24	13.47 	IN	60	57.574184	11.7782755
03/06/24	15.27	IN	84	57.574184	11.7782755
03/06/24	16.34	IN	93	57.574184	11.7782755
03/06/24	17.24	IN	13	57.574184	11.7782755
03/06/24	18.57	IN	27	57.574184	11.7782755
03/06/24	20.12	IN	31	57.574184	11.7782755
04/06/24	05.11	UT	3	57.659177	11.839656
04/06/24	06.00	UT	0	57.659177	11.839656
04/06/24	07.25	UT	43	57.659177	11.839656
04/06/24	11.50	UT	61	57.659177	11.839656
04/06/24	12.50	UT	20	57.659177	11.839656
04/06/24	14.35	UT	0	57.659177	11.839656
04/06/24	15.30	UT	125	57.659177	11.839656
04/06/24	16.40	UT	28	57.659177	11.839656
04/06/24	17.34	UT	86	57.659177	11.839656
04/06/24	19.05	UT	40	57.659177	11.839656
04/06/24	05.06	IN	13	57.574184	11.7782755
04/06/24	05.58	IN	53	57.574184	11.7782755
04/06/24	06.55	IN	78	57.574184	11.7782755
04/06/24	08.25	IN	106	57.574184	11.7782755
04/06/24	12.42	IN	79	57.574184	11.7782755
04/06/24	13.47	IN	174	57.574184	11.7782755
04/06/24	15.25	IN	7	57.574184	11.7782755
04/06/24	16.34	IN	115	57.574184	11.7782755
04/06/24	17.24	IN	39	57.574184	11.7782755
04/06/24	18.57	IN	42	57.574184	11.7782755
04/06/24	20.12	IN	36	57.574184	11.7782755
05/06/24	05.11	UT	4	57.659177	11.839656
05/06/24	06.08	UT	26	57.659177	11.839656
05/06/24	07.54	UT	111	57.659177	11.839656
05/06/24	09.25	UT	132	57.659177	11.839656
05/06/24	11.50	UT	25	57.659177	11.839656
05/06/24	12.50	UT	10	57.659177	11.839656
05/06/24	15.30	UT	137	57.659177	11.839656
05/06/24	16.40	UT	29	57.659177	11.839656
05/06/24	17.37	UT	103	57.659177	11.839656
05/06/24	19.05	UT	54	57.659177	11.839656
05/06/24	05.06	IN	14	57.574184	11.7782755
05/06/24	05.58	IN	57	57.574184	11.7782755
05/06/24	06.55	IN	82	57.574184	11.7782755
05/06/24	09.15	IN	99	57.574184	11.7782755
